"ID","NEWSCODE","PUBLISHTIME","PUBLISHDATE","NEWSTITLE","NEWSLINK","NEWSSOURCEID","NEWSSOURCE","NEWSAUTHOR","NEWSSOURCETABLE","FINSERTTIME","FINSERTDATE","ISVALID","TMSTAMP","ENTRYDATE","ENTRYTIME","NEWSCODEHD","NEWSLINKHD","DATA_DOWNLOAD_TIME"
"2615782","20200713020101995930","2020/7/13 16:10:00","20200713","鲁西化工：上半年净利润预减67.25%-73.80%","\20200713\NW0001-14504874675.txt","9999999999","财联社","","02","2020/7/13 16:14:19","20200713","1","00000001045E199F","2020/7/13","16:21:04","20200713020011685031","\20200713\NW0001-536469406.txt",""
"2615785","20200713020101995937","2020/7/13 16:01:00","20200713","银邦股份预计2020年半年度亏损1200.0万至1500.0万","\20200713\NW0001-14504883099.txt","9999999999","百家号","","02","2020/7/13 16:15:31","20200713","1","00000001045E19A0","2020/7/13","16:21:04","20200713020011685032","\20200713\NW0001-536469718.txt",""
"2617197","20200713020102012170","2020/7/13 19:33:00","20200713","众泰汽车：资金短缺致员工离职较多，各基地均处于停产、半停产状态","\20200713\NW0001-14506104093.txt","0200000003","搜狐财经","","02","2020/7/13 19:53:11","20200713","1","000000010464EEA3","2020/7/13","20:01:15","20200713020011687351","\20200713\NW0001-536514940.txt",""
"2617251","20200713030029550452","2020/7/13 19:30:56","20200713","温氏股份：2020年半年度业绩预告","\20200713\ANNOUNMT-194018424.txt","0300000017","巨潮资讯网","","02","2020/7/13 20:05:27","20200713","1","00000001046EEDA6","2020/7/14","02:51:33","20200713030001335677","\20200713\ANNOUNMT-6437693.txt",""
"2618533","20200714020102036776","2020/7/13 18:10:00","20200713","独山县烧掉400亿，来看都能建什么","\20200713\NW0001-14505656892.txt","9999999999","企业预警通","","02","2020/7/14 10:57:59","20200714","1","00000001047DDAC6","2020/7/14","10:57:59","20200714020011690866","\20200713\NW0001-536498377.txt",""
"2618534","20200714020102040654","2020/7/14 10:25:00","20200714","(深互动)东方园林：上半年业绩预测为-21,000至5000万元","\20200714\NW0001-14508521134.txt","9999999999","深交所互动易","","02","2020/7/14 10:57:59","20200714","1","00000001047E2EB7","2020/7/14","11:05:39","20200714020011691420","\20200714\NW0001-536604460.txt",""
"2618529","20200714020102040458","2020/7/14 9:32:00","20200714","破产案件:（2016）鲁0305破2号关于转让淄博得润生物科技有限公司100%股权的公告","\20200714\NW0001-14508422449.txt","9999999999","全国企业破产重整案件信息网","","02","2020/7/14 10:56:33","20200714","1","00000001047DEB5B","2020/7/14","11:02:38","20200714020011691392","\20200714\NW0001-536600805.txt",""
"2618515","20200714020102040010","2020/7/14 10:04:00","20200714","爱仕达品牌转型或已“回天乏术”？锅盖“爆炸”已成 “顽疾”，营收利润双双下滑","\20200714\NW0001-14508616903.txt","9999999999","人民传播","","02","2020/7/14 10:52:31","20200714","1","00000001047DEB5E","2020/7/14","11:02:38","20200714020011691328","\20200714\NW0001-536608007.txt",""
"2618516","20200714020102040024","2020/7/14 4:06:00","20200714","【济阳圈|城事】拆迁难、土地性质难变 先行区内数十条“断头路”何时通?","\20200714\NW0001-14508624382.txt","0200000008","网易新闻","","02","2020/7/14 10:52:31","20200714","1","00000001047DEB5F","2020/7/14","11:02:38","20200714020011691330","\20200714\NW0001-536608284.txt",""
"2618517","20200714020102040045","2020/7/14 8:25:00","20200714","重要股东减持 王府井还会涨下去吗","\20200714\NW0001-14508656728.txt","0200000010","腾讯新闻","","02","2020/7/14 10:52:31","20200714","1","00000001047DEB60","2020/7/14","11:02:38","20200714020011691333","\20200714\NW0001-536609482.txt",""
"2618518","20200714020102040073","2020/7/14 10:29:00","20200714","仁寿医保事务中心稽核一股股长杨越吉涉嫌严重违法 正接受监察调查","\20200714\NW0001-14508661426.txt","0299999999","四川在线","","02","2020/7/14 10:52:31","20200714","1","00000001047DEB61","2020/7/14","11:02:38","20200714020011691337","\20200714\NW0001-536609656.txt",""
"2617259","20200713030029550221","2020/7/13 19:39:13","20200713","安靠智电：关于使用闲置募集资金购买理财产品的公告","\20200713\ANNOUNMT-194023500.txt","0300000017","巨潮资讯网","","02","2020/7/13 20:05:27","20200713","1","00000001046EED8C","2020/7/14","02:51:33","20200713030001335644","\20200713\ANNOUNMT-6437881.txt",""
"2617260","20200713030029550228","2020/7/13 19:42:13","20200713","珠海鸿瑞：独立董事任命公告","\20200713\ANNOUNMT-194024283.txt","0300000018","代办股份转让信息平台","","02","2020/7/13 20:05:27","20200713","1","000000010465BF2D","2020/7/13","20:20:30","20200713030001335645","\20200713\ANNOUNMT-6437910.txt",""
"2617261","20200713030029550235","2020/7/13 19:45:13","20200713","昆仑万维：关于全资子公司参与认购投资基金份额的公告","\20200713\ANNOUNMT-194025066.txt","0300000017","巨潮资讯网","","02","2020/7/13 20:05:27","20200713","1","00000001046EED8D","2020/7/14","02:51:33","20200713030001335646","\20200713\ANNOUNMT-6437939.txt",""
"2618519","20200714020102040094","2020/7/14 10:22:00","20200714","维他奶创办人孙女“逼宫”Esprit母公司后，持股比例增至逾18%","\20200714\NW0001-14508676546.txt","9999999999","界面新闻","","02","2020/7/14 10:52:31","20200714","1","00000001047DEB67","2020/7/14","11:02:38","20200714020011691340","\20200714\NW0001-536610216.txt",""
"2618523","20200714020102040157","2020/7/14 10:28:00","20200714","吴通控股增资“惹麻烦” 业绩补偿承诺方爽约被通报批评","\20200714\NW0001-14508653110.txt","9999999999","中国科技新闻网","","02","2020/7/14 10:53:53","20200714","1","00000001047DEB62","2020/7/14","11:02:38","20200714020011691349","\20200714\NW0001-536609348.txt",""
"2618524","20200714020102040164","2020/7/14 10:43:00","20200714","港股异动丨康龙化成A+H齐跌 Wish Bloom已减持1.88%公司股份","\20200714\NW0001-14508659671.txt","9999999999","格隆汇","","02","2020/7/14 10:53:53","20200714","1","00000001047DEB63","2020/7/14","11:02:38","20200714020011691350","\20200714\NW0001-536609591.txt",""
"2618520","20200714020102040185","2020/7/14 10:44:00","20200714","华为5G关键时刻来临，英国首相召开会议即将宣布最终决定","\20200714\NW0001-14508668716.txt","9999999999","格隆汇","","02","2020/7/14 10:52:31","20200714","1","00000001047DEB68","2020/7/14","11:02:38","20200714020011691353","\20200714\NW0001-536609926.txt",""
"2618521","20200714020102040206","2020/7/14 10:30:00","20200714","优衣库母公司迅销集团第三季度收入下降近40%","\20200714\NW0001-14508684511.txt","0299999999","中金网","","02","2020/7/14 10:52:31","20200714","1","00000001047DEB69","2020/7/14","11:02:38","20200714020011691356","\20200714\NW0001-536610511.txt",""
"2617268","20200713030029550522","2020/7/13 19:30:56","20200713","航新科技：关于持股5%以上股东减持至5%以下暨权益变动的提示性公告","\20200713\ANNOUNMT-194019045.txt","0300000017","巨潮资讯网","","02","2020/7/13 20:05:27","20200713","1","00000001046EEDE5","2020/7/14","02:51:33","20200713030001335687","\20200713\ANNOUNMT-6437716.txt",""
