,发布日期,发布时间,新闻标题,新闻来源,关键词,风险类型
108,20181214,2018-12-14 19:19:00,债市违约专题 丨 山东金茂纺织化工集团有限公司,中诚信国际,,
109,20181213,2018-12-13 06:00:00,11月新增22只违约债券,深圳商报,,
110,20181213,2018-12-13 14:49:04,关于召开山东金茂纺织化工集团有限公司2014年度第一期中期票据持有人会议的公告,中国货币网,,
111,20181214,2018-12-14 21:55:00,临近年底新增近20家企业债券未按期偿还 债务违约“小高潮”,华夏时报,,
112,20181211,2018-12-11 10:31:06,山东金茂纺织化工集团有限公司关于子公司重整的公告,中国货币网,,
113,20181130,2018-11-30 08:57:00,一周之内，山东2家民营500强企业申请破产,陆家嘴扫地僧,,
114,20181211,2018-12-11 00:03:00,债券净融资额上升，负面事件持续出现 ( 国海固收研究 ）,靳论固收,,
115,20181210,2018-12-10 15:14:00,两大国内500强民营化工巨头破产重整！,新浪,,
116,20181211,2018-12-11 13:50:12,关于山东金茂纺织化工集团有限公司2014年度第一期中期票据债权申报的公告,中国货币网,,
117,20181220,2018-12-20 20:16:48,关于山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）2018年第三次债券持有人会议决议公告,上海交易所,,
118,20181220,2018-12-20 20:18:46,山东金茂纺织化工集团有限公司2015年公司债券2018年第二次债券持有人会议决议公告,上海交易所,,
119,20181217,2018-12-17 18:42:27,中山证券有限责任公司关于召开山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）2018年第三次债券持有人会议的补充通知一,上海交易所,,
120,20181217,2018-12-17 16:26:00,【研究报告】债券市场违约与信用风险事件月报（2018年11月）,新世纪评级,,
121,20181218,2018-12-18 06:38:00,持有债券违约及部分标的变现困难 恒泰证券集合资管计划部分份额无法正常退出,上海证券报,,
122,20181219,2018-12-19 09:17:00,债券违约率边际出现下降,青年报,,
